test_id,category,run,text_input,text_output,safety_result,transition_used,latency_asr_latency,latency_safety_latency,latency_llm_first_sentence,latency_tts_first_chunk,latency_first_playable,latency_first_content,latency_total_response,latency_wall_total
en_simple_3,简单英文,3,what is thection of a shipdeck,"您提到的thection应为function（功能）的拼写误差。船舶甲板是船体顶部的水平结构，其主要功能如下：

第一，封闭船体顶部，保证船体的水密性，防止海水进入船舱，确保船舶的浮力。

第二，作为",safe,False,384.26,0.02,6952.61,2597.41,9934.29,9934.29,9934.3,20592.3
en_simple_4,简单英文,1,why is shipsababilityant,"您的问题似乎存在语音识别误差，结合造船领域语境，我推测您想问的是：为什么船舶需要具备适航性（Seaworthiness）。

适航性通俗来说就是船舶能够安全出海并在恶劣海况下生存和作业的能力。技术细节",safe,False,384.71,0.02,2460.53,2724.99,5570.24,5570.24,5570.24,38678.0
en_simple_4,简单英文,2,why is shipsabilityant,"您输入的文本可能存在语音识别错误。根据造船领域语境推断，您的问题极可能是在询问“船舶为什么需要稳性”，即将“ships ability”误听为“ship stability”（船舶稳性）。

船舶必须",safe,False,371.25,0.02,17245.68,2711.96,20328.9,20328.89,20328.9,45751.77
en_simple_4,简单英文,3,why is shipsstabilityant,"用户输入的文本疑似语音识别错误，结合造船领域语境，推断其实际问题为“Why is ship stability important”，即“船舶稳性为什么重要”。

船舶稳性，通俗来说就是船在海上受到风",safe,False,387.3,0.02,4797.53,3047.36,8232.19,8232.19,8232.2,40250.47
mixed_1,中英混合,1,请解释包ad和仓壁是不是同一个概念,"包ad和舱壁不是同一个概念。结合造船领域的语境，语音识别中的包ad大概率是指包板，而仓壁则是舱壁的误识别。

先说舱壁。舱壁就是船体内部将空间分隔成不同舱室的竖直或倾斜的墙壁。在技术细节上，舱壁主要分",safe,False,625.4,0.03,5838.72,2479.32,8943.44,8943.44,8943.44,41440.3
mixed_1,中英混合,2,请解释包ad和仓壁是不是同一个概念,"包ad和舱壁不是同一个概念。根据造船领域的专业语境，您提到的包ad极有可能是语音识别误识别，实际指代的应是甲板。

以下是两者的具体区别：

第一，概念定义不同。
甲板是指船体顶部及其各层水平结构的覆",safe,False,630.61,0.05,20084.06,2308.44,23023.11,23023.11,23023.11,58803.78
mixed_1,中英混合,3,请解释包ad和仓壁是不是同一个概念,"包ad和舱壁不是同一个概念。

结合造船领域的语境，您提到的包ad很可能是语音误识别，其实际含义应为包板，也就是船体外板。

舱壁是指将船体内部空间分隔成多个舱室的垂直或水平平面结构。通俗来讲，它就像",safe,False,648.08,0.03,4194.48,2112.09,6954.66,6954.66,6954.66,29604.88
mixed_2,中英混合,1,er ruder和船舵之间有什么关关系,"您提到的""er ruder""应为""Rudder""，即船舵的英文专业术语。两者指代的是同一个船舶部件，属于指称与实物的关系。

船舵是用于控制船舶航行方向的关键装置，通常安装在船尾螺旋桨后方。

从专业",safe,False,607.06,0.02,21325.33,2349.35,24281.74,24281.74,24281.75,45943.41
mixed_2,中英混合,2,er ruder和船舵之间有什么关系系,"您提到的“er ruder”在语音识别中很可能是“stern ruder”的误识别，而在造船领域，标准的专业术语应为“stern rudder”，即“艉舵”。

艉舵和船舵之间是具体与总称的关系。船舵",safe,False,566.76,0.04,9316.87,2705.51,12589.15,12589.15,12589.15,33347.8
mixed_2,中英混合,3,er ruder和船舵之间有什么关系,"ER Ruder通常并非标准的船舶术语，根据造船领域的语境推断，这极有可能是英文单词Rudder的误拼或语音识别错误，因此ER Ruder与船舵之间实质上是同一概念的关系。

以下是详细解释：

1.",safe,False,582.74,0.03,21685.73,2755.41,25023.89,25023.89,25023.89,66557.08
mixed_3,中英混合,1,船舶shipbuilding中howsign主要关注什么,"您提到的""howsign""应为造船专业术语""Hogging""，即""中垂""现象。在船舶设计与建造中，主要关注以下内容：

1. 现象定义：中垂是指船舶在波浪中航行或坐墩时，船体中部下垂、首尾两端上翘的弯",safe,False,548.64,0.03,23234.92,2566.95,26350.5,26350.5,26350.51,50259.41
mixed_3,中英混合,2,船舶shipbuilding中howsign主要关注什么,"您提到的howsign应该是语音识别误差，在造船领域其实际应为Hull Sign，即船体标志或船体标号。

通俗解释：船体标志就像是船舶的身份证号和刻度尺，印刻在船体外板和内部结构上，用于表明船舶身份",safe,False,555.15,0.03,9423.15,2482.01,12460.31,12460.31,12460.32,39293.23
mixed_3,中英混合,3,船舶shipbuilding中howsign主要关注什么,"您提到的""howsign""应为造船专业术语""Hull Scan""（船体扫描）或""Hull Section""（船体分段）的语音误识别。结合船舶建造流程，该术语主要关注以下核心内容：

若指船体扫描，主要",safe,False,548.29,0.03,17546.52,2793.3,20888.11,20888.11,20888.11,33353.15
zh_ship_1,造船术语,1,纵骨和肋骨的区别是什么,"纵骨和肋骨都是船体结构中非常重要的骨架构件，它们的主要区别在于设置方向、主要功能以及连接方式。

第一，设置方向不同。纵骨是沿着船长方向布置的骨架，也就是从船头到船尾的方向；而肋骨是沿着船宽方向布置的",safe,False,421.47,0.02,4575.21,2570.72,7567.4,7567.4,7567.4,33918.62
zh_ship_1,造船术语,2,纵骨和肋骨的区别是什么,"纵骨和肋骨是船体骨架中两种最关键的构件，它们的区别主要体现在定义、布置方向、受力功能和连接方式上。

第一，定义与通俗解释不同。纵骨，顾名思义是沿着船长方向布置的骨材，就像人体肋骨之间的纵向加强筋，主",safe,False,411.86,0.02,16442.54,2495.55,19349.95,19349.95,19349.96,55255.73
zh_ship_1,造船术语,3,纵骨和肋骨的区别是什么,"纵骨和肋骨是船体结构中两种最关键的骨架构件，它们的主要区别在于布置方向、结构功能以及连接方式。

第一，布置方向不同。
肋骨是横向构件，沿着船宽方向左右延伸，就像人类的肋骨一样横向环绕船身。
纵骨是纵",safe,False,407.64,0.02,15243.33,3141.75,18792.73,18792.73,18792.73,50067.6
zh_ship_2,造船术语,1,请解释手楼和尾轴的功能,"您提到的手楼和尾轴，在造船领域中正确的专业术语应为艏楼和艉轴。以下为您详细解释它们的功能。

首先是艏楼。艏是指船的前部，艏楼就是位于船舶前部、首部上甲板以上的上层建筑。它的主要功能是提供遮蔽和保护。",safe,False,464.19,0.02,7597.67,2523.95,10585.81,10585.81,10585.82,37851.71
zh_ship_2,造船术语,2,请解释手楼和尾轴的功能,"用户提问中的手楼应为艏楼，这是语音识别的同音误判。以下是对艏楼和尾轴功能的解释：

艏楼是指位于船体首部、覆盖艏部区域的上层建筑。通俗来说，它就像是船头的房子。其主要功能包括：提高船首干舷高度，防止海",safe,False,463.68,0.02,21905.95,2605.39,24975.03,24975.03,24975.03,46800.4
zh_ship_2,造船术语,3,请解释手楼和尾轴的功能,"您好，根据造船领域的专业语境，您提到的手楼应为艏楼，是指位于船舶首部的上层建筑。下面分别解释艏楼和尾轴的功能。

艏楼的功能：
艏楼是位于船首部位的上层建筑，其主要作用是改善船舶的适航性。通俗来讲，它",safe,False,459.95,0.02,13216.55,2810.62,16487.13,16487.13,16487.14,38933.13
zh_ship_3,造船术语,1,龙骨的结构图式有哪些,"龙骨是船舶的脊梁，位于船底中心线贯穿首尾，是船体最重要的纵向强力构件，承担着总纵弯曲强度、局部承载力以及搁浅时的保护作用。龙骨的结构图式主要根据船舶类型、用途和受力特点来划分，常见的有以下几种：

1",safe,False,380.92,0.02,6840.21,2752.4,9973.54,9973.54,9973.54,79186.8
zh_ship_3,造船术语,2,龙骨的结构图式有哪些,"龙骨是船舶的脊梁，位于船体底部中线，是支撑整个船体结构的最重要基础构件。龙骨的结构图式主要根据船舶类型、用途和建造工艺的不同而有所区别，常见的有以下几种：

第一，平板龙骨。通俗讲就是一块平铺在船底的",safe,False,379.38,0.02,5745.71,2587.94,8713.03,8713.03,8713.03,65769.03
zh_ship_3,造船术语,3,龙骨的结构图式有哪些,"龙骨是船舶的脊梁，位于船底中心线，是船体最基础的承力结构。龙骨的结构图式主要根据船舶类型、受力需求和建造工艺划分，常见的有以下几种：

第一，平板龙骨。这是现代商船最常用的图式。通俗讲，它就是船底中心",safe,False,380.85,0.03,7816.74,2445.14,10642.73,10642.73,10642.74,65446.0
zh_ship_4,造船术语,1,舱底水密门和分仓设计之间有什么关系,"舱底水密门与分舱设计之间存在着核心的依存与制约关系，主要体现在保障船舶抗沉性这一关键性能上。具体关系如下：

第一，分舱设计决定了水密门的设置必要性。分舱设计，通俗讲就是通过设置横向水密舱壁将船体内部",safe,False,637.07,0.02,17555.4,2505.52,20697.99,20697.99,20698.0,62353.28
zh_ship_4,造船术语,2,舱底水密门和分仓设计之间有什么关系,"舱底水密门与分舱设计之间存在着核心的依存与制约关系，主要体现在保障船舶抗沉性这一关键性能上。具体关系如下：

第一，分舱设计决定了水密门的设置必要性。分舱设计，通俗讲就是通过设置横向水密舱壁将船体内部",safe,False,688.14,0.04,11374.48,2533.25,14595.87,14595.87,14595.88,50840.45
zh_ship_4,造船术语,3,舱底水密门和分仓设计之间有什么关系,"舱底水密门与分舱设计之间存在着核心的依存与制约关系，主要体现在保障船舶抗沉性这一关键性能上。具体关系如下：

第一，分舱设计决定了水密门的设置必要性。分舱设计，通俗讲就是通过设置横向水密舱壁将船体内部",safe,False,680.13,0.04,20447.3,2441.84,23569.27,23569.27,23569.28,57878.93
zh_ship_5,造船术语,1,守柱尾柱和弦侧结构图别承担什么作用,"您提到的术语应为艏柱、艉柱和舷侧结构。以下是它们在船体结构中分别承担的作用：

艏柱，即船体最前端的骨架。它是船首部结构的中枢，主要作用是连接船体两舷的外板、甲板和龙骨，形成封闭的船体前端。它需要承受",safe,False,687.71,0.02,15690.06,2468.96,18846.74,18846.74,18846.74,44117.13
zh_ship_5,造船术语,2,守柱尾柱和弦侧结构图别承担什么作用,"您好，根据造船专业术语推断，您的问题中“守柱”应为“艏柱”，“弦侧”应为“舷侧”。以下是对艏柱、尾柱和舷侧结构作用的详细解答：

艏柱的作用：
艏柱位于船体最前端，是船体艏部结构的脊柱。其主要作用是连",safe,False,684.88,0.04,18997.4,2462.86,22145.15,22145.15,22145.15,50023.99
zh_ship_5,造船术语,3,守柱尾柱和弦侧结构图别承担什么作用,"您的问题中存在语音识别误差，结合造船领域语境，我推断您实际想问的是：首柱、尾柱和舷侧结构分别承担什么作用。以下为您详细解答：

首柱的作用：
首柱即船头最前端的骨架结构，通俗讲就是船头的龙骨延伸和封口",safe,False,677.62,0.02,2808.86,2464.19,5950.67,5950.67,5950.67,46120.59
zh_ship_6,造船术语,1,压载水系统为什么会影响船舶浮态和纵轻,"压载水系统通过调节全船各压载舱的注排水量及调水方向，直接改变船舶的排水量与重心位置，从而影响船舶浮态和纵倾。

浮态是指船舶在静水中的漂浮状态，包括正浮、横倾和纵倾。纵倾则是指船舶沿船长方向发生倾斜，",safe,False,658.84,0.03,18362.07,2713.93,21734.85,21734.85,21734.85,69951.65
zh_ship_6,造船术语,2,压载水系统为什么会影响船舶浮态和纵轻,"压载水系统通过调节全船各压载舱的注排水量及水量分布，直接改变了船舶的排水量与重心位置，从而影响船舶浮态和纵倾。

首先解释两个术语。浮态，通俗说就是船舶漂浮在水面的姿态，包括正浮、横倾和纵倾状态；技术",safe,False,682.74,0.02,11005.46,2674.56,14362.77,14362.77,14362.77,52135.73
zh_ship_6,造船术语,3,压载水系统为什么会影响船舶浮态和纵轻,"压载水系统通过调节全船各压载舱的注水量与排水量，直接改变了船舶的排水量和重心位置，从而影响船舶浮态和纵倾。针对您提到的“纵轻”，根据造船语境推断应为“纵倾”，即船舶在长度方向上的倾斜状态。

具体影响",safe,False,694.37,0.03,24263.75,2614.51,27572.63,27572.63,27572.63,57540.97
zh_ship_7,造船术语,1,剁干剁叶和舵鸡在转向系统中如何配合,"您提到的“剁干”、“剁叶”和“舵鸡”，在造船领域是典型的语音误识别，正确的专业术语应为舵杆、舵叶和舵机。这三者是船舶转向系统的核心部件，它们通过机械与液压的传递紧密配合，实现船舶的转向。

首先是舵叶",safe,False,743.16,0.02,9788.23,2626.82,13158.21,13158.21,13158.22,42281.39
zh_ship_7,造船术语,2,剁干剁叶和舵鸡在转向系统中如何配合,"您提到的“剁干”、“剁叶”和“舵鸡”应为语音识别误转，其正确的专业术语分别是“舵杆”、“舵叶”和“舵机”。这三者是船舶舵装置的核心组成部分，它们在转向系统中的配合过程如下：

首先，舵机是转向的动力源",safe,False,749.92,0.03,20966.03,2574.69,24290.65,24290.65,24290.65,49143.33
zh_ship_7,造船术语,3,剁干剁叶和舵鸡在转向系统中如何配合,"用户提到的“剁干”、“剁叶”和“舵鸡”均为语音识别误识别词汇。根据造船领域语境，正确术语应分别为“舵杆”、“舵叶”和“舵机”。

这三者在船舶转向系统中的配合关系如下：

首先，舵机是转向系统的动力源",safe,False,746.71,0.03,17555.78,2676.31,20978.8,20978.8,20978.8,57480.73
zh_ship_8,造船术语,1,总布置图型线图和结构图分别用于什么阶段,"总布置图、型线图和结构图是船舶设计的三大核心图纸，它们分别应用于船舶设计的不同阶段。

第一，型线图主要用于初步设计阶段。型线图是描述船体表面形状的图纸，通俗来说就是船体的三维外貌轮廓图。在初步设计阶",safe,False,759.18,0.02,3240.94,2500.68,6500.81,6500.81,6500.81,38998.56
zh_ship_8,造船术语,2,总布置图型线图和结构图分别用于什么阶段,"总布置图、型线图和结构图是船舶设计的核心图纸，分别应用于船舶设计的不同阶段：

第一，型线图。通俗讲就是船体的三维外形轮廓图，用来定义船体表面的真实形状。它主要用于初步设计阶段。在这个阶段，设计人员需",safe,False,722.9,0.02,12679.3,2670.02,16072.21,16072.21,16072.21,59211.21
zh_ship_8,造船术语,3,总布置图型线图和结构图分别用于什么阶段,"总布置图、型线图和结构图是船舶设计的核心图纸，分别对应船舶设计的不同阶段，具体如下：

第一，型线图主要用于初步设计阶段。型线图是描述船体表面形状的图形，通俗来说就是船体的三维外表曲面图。在初步设计阶",safe,False,758.22,0.03,3227.61,2991.25,6977.09,6977.09,6977.09,39881.01
zh_process_1,工艺流程,1,船体分段建造的一般流程是什么,"船体分段建造是现代造船的核心工艺，将整船划分为若干局部结构进行流水线作业，其一般流程如下：

第一，生产准备与放样。放样就是将设计图纸转化为实际建造尺寸的过程。技术人员在车间将船体型线进行数学光顺，生",safe,False,511.3,0.02,5258.64,2887.84,8657.78,8657.78,8657.79,68056.08
zh_process_1,工艺流程,2,船体分段建造的一般流程是什么,"船体分段建造是将船体划分为若干个较小的单元进行施工的核心工艺，其一般流程主要包含以下五个阶段：

第一阶段是生产准备与号料。生产准备涉及技术图纸的下料规划与配套；号料则是将船体零件的形状与标记，依据图",safe,False,506.19,0.02,12454.15,2579.45,15539.8,15539.79,15539.8,49714.61
zh_process_1,工艺流程,3,船体分段建造的一般流程是什么,"船体分段建造是将船体划分为若干个较小的单元进行施工的核心工艺，其一般流程主要包含以下五个阶段：

第一阶段是生产准备与号料。生产准备涉及技术图纸的下料规划与配套；号料则是将船体零件的形状与标记，依据图",safe,False,505.07,0.02,17406.78,2524.96,20436.81,20436.81,20436.81,53830.08
zh_process_2,工艺流程,1,分段合拢前通常需要检查哪些项目,"分段合拢，通俗来讲就是把在车间或船台上分别造好的船体零件像搭积木一样拼装成完整船体的过程。合拢前的检查至关重要，直接关系到船舶的建造质量和进度。通常需要检查以下几类项目：

第一，尺寸与形位检查。主要",safe,False,589.65,0.03,5907.48,2681.53,9178.66,9178.66,9178.66,60400.52
zh_process_2,工艺流程,2,分段合拢前通常需要检查哪些项目,"分段合拢，通俗地说就是将提前造好的船体零件像搭积木一样拼装成整船的过程。合拢前的检查至关重要，直接关系到船舶的建造质量和后续工序的顺利推进。通常需要检查以下核心项目：

第一，尺寸与线型检查。通俗讲就",safe,False,599.89,0.03,3967.48,2603.04,7170.41,7170.41,7170.41,59435.56
zh_process_2,工艺流程,3,分段合拢前通常需要检查哪些项目,"分段合拢，通俗讲就是将船体各个像积木一样的制造单元拼装成完整船体的过程。合拢前的检查至关重要，直接关系到船舶的建造质量和进度。通常需要检查以下项目：

第一，尺寸与线型检查。也就是核对分段的长宽尺寸和",safe,False,588.8,0.02,1939.74,2538.19,5066.73,5066.73,5066.73,58628.89
zh_process_3,工艺流程,1,船体焊接质量检验有哪些常见方法,"船体焊接质量检验是保证船舶结构安全的关键环节，常见的检验方法主要分为非破坏性检验和破坏性检验两大类。

第一类是非破坏性检验，即在不停坏焊接接头的情况下进行检测，主要包括以下几种方法：

外观检验。通",safe,False,592.89,0.02,3833.74,2606.63,7033.27,7033.26,7033.27,66555.41
zh_process_3,工艺流程,2,船体焊接质量检验有哪些常见方法,"船体焊接质量检验主要分为非破坏性检验和破坏性检验两大类，其中非破坏性检验是船厂日常生产中最常用的手段。以下是常见的方法：

一、外观检验
这是最基础、最经济的检验方法。检验人员利用肉眼或借助放大镜、焊",safe,False,589.93,0.02,13439.68,2456.66,16486.27,16486.27,16486.27,95038.34
zh_process_3,工艺流程,3,船体焊接质量检验有哪些常见方法,"船体焊接质量检验的常见方法主要分为非破坏性检验和破坏性检验两大类，在实际造船中以非破坏性检验为主。

第一类是外观检验。这是最基础的方法，通过肉眼或低倍放大镜观察焊缝表面，检查是否有咬边、焊瘤、表面气",safe,False,587.23,0.02,12656.56,2583.66,15827.46,15827.46,15827.46,82856.63
zh_process_4,工艺流程,1,船舶下水前需要完成哪些关键准备,"船舶下水是船舶建造过程中的重大节点，下水前需完成以下关键准备工作：

第一，船体结构完整性准备。必须完成主船体所有结构的装焊工作，包括龙骨、肋骨、纵骨、舱壁、甲板及舷侧的焊接，确保船体具备足够的结构强",safe,False,590.15,0.03,4988.22,2617.55,8195.93,8195.93,8195.93,62021.15
zh_process_4,工艺流程,2,船舶下水前需要完成哪些关键准备,"船舶下水是船舶建造过程中的关键节点，标志着船舶从建造阶段转入舾装和试航阶段。下水前需完成的关键准备工作主要涵盖以下五个方面：

第一是船体结构的水密性测试。这是确保船舶安全浮于水面的基础。必须完成所有",safe,False,589.69,0.02,17718.25,2820.83,21128.78,21128.78,21128.78,69696.66
zh_process_4,工艺流程,3,船舶下水前需要完成哪些关键准备,"船舶下水是船舶建造过程中的重大节点，下水前需完成一系列关键准备，以确保下水过程安全顺利，并满足后续舾装和试航要求。主要准备工作包括以下几个方面：

第一，船体结构完整性准备。船体所有分段必须完成大合拢",safe,False,596.19,0.03,2208.64,2540.09,5344.92,5344.92,5344.93,113831.22
zh_process_5,工艺流程,1,试航阶段主要验证哪些系统性能,"试航即船舶建造后的海上航行测试，主要验证各系统在真实海况下的综合性能，具体包括以下几个方面：

第一，推进与航速性能。推进系统是推动船舶航行的核心，主要验证主机在不同工况下的运转状态、轴系振动情况以及",safe,False,588.88,0.02,4154.32,2537.38,7280.59,7280.59,7280.59,37109.4
zh_process_5,工艺流程,2,试航阶段主要验证哪些系统性能,"试航即船舶建造后的海上航行测试，主要验证各系统在真实海洋环境下的综合性能，具体包括以下方面：

第一，推进系统性能。推进系统是推动船舶航行的核心动力组合。主要验证主机在不同工况下的运转状态、轴系振动情",safe,False,585.18,0.02,4085.76,2714.07,7385.02,7385.01,7385.02,44270.09
zh_process_5,工艺流程,3,试航阶段主要验证哪些系统性能,"试航是船舶建造的最后阶段，主要在真实水域环境下验证各系统和整船的性能是否达到设计要求。主要验证的系统性能包括以下几个方面：

第一，航速与推进性能。推进系统就是推动船舶前进的动力和传动装置。试航需验证",safe,False,572.49,0.03,2843.23,2538.94,5954.66,5954.66,5954.67,62524.55
